ID WHO city,Region,iso3,Country,City,Location,lon,lat,pm10,Year,Number and type of monitoring stations,note on converted PM10,pm25,note on converted PM2.5,Temporal coverage,for air quality
374,Amr HI,CHL,Chile,Punta Arenas,"Punta Arenas, Chile",-70.9170683,-53.1638329,12,2014,"1 station, NA",converted from PM2.5,5,measured data,PM10: NA; PM2.5:>75%,Ministerio del Medio Ambiente
1819,Wpr HI,NZL,New Zealand,Invercargill,"Invercargill, New Zealand",168.3537731,-46.4131866,24,2012,0,measured data,12,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1815,Wpr HI,NZL,New Zealand,Gore,"Gore, New Zealand",168.945819,-46.0987992,23,2012,0,measured data,11,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1813,Wpr HI,NZL,New Zealand,Dunedin,"Dunedin, New Zealand",170.5027976,-45.8787605,18,2012,0,measured data,9,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
368,Amr HI,CHL,Chile,Coyhaique,"Coyhaique, Chile",-72.068265,-45.5712254,75,2014,"1 station, NA",measured data,64,measured data,PM10: >75%; PM2.5:>75%,Ministerio del Medio Ambiente
1837,Wpr HI,NZL,New Zealand,Te Anau,"Te Anau, New Zealand",167.718053,-45.4144515,6,2012,0,measured data,3,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1808,Wpr HI,NZL,New Zealand,Alexandra,"Alexandra, New Zealand",169.372381,-45.232815,22,2012,0,measured data,11,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1843,Wpr HI,NZL,New Zealand,Waimate,"Waimate, New Zealand",171.048135,-44.7326402,18,2012,0,measured data,9,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1839,Wpr HI,NZL,New Zealand,Timaru,"Timaru, New Zealand",171.2549729,-44.3969718,28,2012,"1 station, NA",measured data,15,measured data,PM10: >75%; PM2.5:>75%,Air quality domain report
1845,Wpr HI,NZL,New Zealand,Washdyke,"Washdyke, New Zealand",171.2384037,-44.3524425,17,2012,0,measured data,8,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1814,Wpr HI,NZL,New Zealand,Geraldine,"Geraldine, New Zealand",171.2437353,-44.0911852,20,2012,0,measured data,10,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1809,Wpr HI,NZL,New Zealand,Ashburton,"Ashburton, New Zealand",171.7485672,-43.9083813,21,2012,0,measured data,10,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1812,Wpr HI,NZL,New Zealand,Christchurch,"Christchurch, New Zealand",172.6362254,-43.5320544,21,2012,"2 stations, NA",measured data,10,measured data,PM10: >75%; PM2.5:>75%,Air quality domain report
1820,Wpr HI,NZL,New Zealand,Kaiapoi,"Kaiapoi, New Zealand",172.6569578,-43.3830321,18,2012,0,measured data,9,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1830,Wpr HI,NZL,New Zealand,Rangiora,"Rangiora, New Zealand",172.5957246,-43.303356,17,2012,0,measured data,8,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
22,Wpr HI,AUS,Australia,"Hobart, Tasmania","Hobart, Tasmania, Australia",147.323814,-42.881903,14,2013,"1 station, residential",converted from PM2.5,6,measured data,PM10: NA; PM2.5:>75%,Environment Protection Authority
1811,Wpr HI,NZL,New Zealand,Blenheim,"Blenheim, New Zealand",173.9612498,-41.5134425,19,2012,0,measured data,9,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
24,Wpr HI,AUS,Australia,"Launceston, Tasmania","Launceston, Tasmania, Australia",147.1124679,-41.4261807,19,2013,"1 station, Rural (small town)",converted from PM2.5,8,measured data,PM10: NA; PM2.5:<75 % but annually representative,Environment Protection Authority
1831,Wpr HI,NZL,New Zealand,Richmond,"Richmond, New Zealand",173.1838086,-41.3384657,20,2012,0,measured data,10,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1846,Wpr HI,NZL,New Zealand,Wellington,"Wellington, New Zealand",174.776236,-41.2864603,13,2012,0,measured data,6,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1844,Wpr HI,NZL,New Zealand,Wainuiomata,"Wainuiomata, New Zealand",174.9479051,-41.2633625,10,2012,0,measured data,5,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1821,Wpr HI,NZL,New Zealand,Lower Hutt,"Lower Hutt, New Zealand",174.9080557,-41.2091655,10,2012,0,measured data,5,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
18,Wpr HI,AUS,Australia,"Devonport, Tasmania","Devonport, Tasmania, Australia",146.3609534,-41.1783532,15,2013,"1 station, residential",converted from PM2.5,6,measured data,PM10: NA; PM2.5:>75%,Environment Protection Authority
1828,Wpr HI,NZL,New Zealand,Porirua,"Porirua, New Zealand",174.8406006,-41.1338998,12,2012,0,measured data,6,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1842,Wpr HI,NZL,New Zealand,Upper Hutt,"Upper Hutt, New Zealand",175.0707834,-41.1244327,10,2012,0,measured data,5,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
21,Wpr HI,AUS,Australia,Gladstone,"Gladstone, Australia",148.0100216,-40.9602197,14,2014,"4 stations, Residential (outer urban)",measured data,5,measured data,PM10: >75%; PM2.5:>75%,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/
1822,Wpr HI,NZL,New Zealand,Masterton,"Masterton, New Zealand",175.6573502,-40.9511118,14,2012,"1 station, NA",measured data,12,measured data,PM10: >75%; PM2.5:>75%,Air quality domain report
372,Amr HI,CHL,Chile,Osorno,"Osorno, Chile",-73.1149469,-40.5761897,54,2014,"1 station, NA",measured data,35,measured data,PM10: >75%; PM2.5:>75%,Ministerio del Medio Ambiente
383,Amr HI,CHL,Chile,Valdivia,"Valdivia, Chile",-73.2425333,-39.8173788,47,2014,"1 station, NA",measured data,29,measured data,PM10: >75%; PM2.5:>75%,Ministerio del Medio Ambiente
1818,Wpr HI,NZL,New Zealand,Hawkes Bay,"Hawkes Bay, New Zealand",176.7416374,-39.7711616,18,2012,0,measured data,9,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1833,Wpr HI,NZL,New Zealand,Taihape,"Taihape, New Zealand",175.7988055,-39.6777329,14,2012,0,measured data,7,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1817,Wpr HI,NZL,New Zealand,Hastings,"Hastings, New Zealand",176.8392322,-39.6395783,15,2012,0,measured data,7,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1824,Wpr HI,NZL,New Zealand,Napier,"Napier, New Zealand",176.9120178,-39.4928444,14,2012,0,measured data,7,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
